Name,Property mean Fusion zone depth (mm),Property mean Fusion zone depth (mm) units,Property Summary: Laser Power (W),Property Summary: Laser Power (W) units,Property Post-Weld Data: Roll Back Time (s),Property Post-Weld Data: Roll Back Time (s) units,Property Weld Ignition Stage Data: Weld Power Source/Hotwire Mode,Property Weld Ignition Stage Data: Laser Pre-Time (s),Property Weld Ignition Stage Data: Laser Pre-Time (s) units,Property Summary: Wire Power (kW),Property Summary: Wire Power (kW) units,Property Post-Weld Data: Pull Out Dist (mm),Property Post-Weld Data: Pull Out Dist (mm) units,Property Weld Fill Stage Data: Wobbler Frequency (Hz),Property Weld Fill Stage Data: Wobbler Frequency (Hz) units,Property Summary: Robot Travel Speed (mm/s),Property Summary: Robot Travel Speed (mm/s) units,Property Weld Fill Stage Data: Heat Wirefeed Speed (mm/s),Property Weld Fill Stage Data: Heat Wirefeed Speed (mm/s) units,Property Weld End Stage Data: Wire Power (kW),Property Weld End Stage Data: Wire Power (kW) units,Property Weld Fill Stage Data: Fill Time (s),Property Weld Fill Stage Data: Fill Time (s) units,Property Beta grain length // build (microns),Property Beta grain length // build (microns) units,Property mean Fusion zone depth at 50% fusion zone width (mm),Property mean Fusion zone depth at 50% fusion zone width (mm) units,Property Weld End Stage Data: Wobbler Frequency (Hz),Property Weld End Stage Data: Wobbler Frequency (Hz) units,Property Summary: Starting O2 ppm,Property Bead width (mm),Property Bead width (mm) units,Property Weld Main Stage Data: Weave Width (mm),Property Weld Main Stage Data: Weave Width (mm) units,Property Post-Weld Data: Laser Off Delay (s),Property Post-Weld Data: Laser Off Delay (s) units,Property Beta grain length perp. build (microns),Property Beta grain length perp. build (microns) units,"Property mean Bead quality (1-intermittent, 2-variable, 3-rippled, 4-smooth)","Property mean Bead quality (1-intermittent, 2-variable, 3-rippled, 4-smooth) units",Property Weld Main Stage Data: Heat Wirefeed Speed (mm/s),Property Weld Main Stage Data: Heat Wirefeed Speed (mm/s) units,Property Weld Fill Stage Data: Wobbler Amplitude (mm),Property Weld Fill Stage Data: Wobbler Amplitude (mm) units,Property mean Alpha lath thickness (microns),Property mean Alpha lath thickness (microns) units,Property mean Beta grain length // build (microns),Property mean Beta grain length // build (microns) units,Property mean Fusion zone depth at 75% fusion zone width (mm),Property mean Fusion zone depth at 75% fusion zone width (mm) units,Property mean Fusion zone width (mm),Property mean Fusion zone width (mm) units,Property Weld End Stage Data: Wobbler Amplitude (mm),Property Weld End Stage Data: Wobbler Amplitude (mm) units,Property Fusion zone depth at 50% fusion zone width (mm),Property Fusion zone depth at 50% fusion zone width (mm) units,Property Weld Main Stage Data: Travel Speed (mm/s),Property Weld Main Stage Data: Travel Speed (mm/s) units,Property Laser Equipment Data: Optical Channel,Property Summary: Ending O2 ppm,"Property Bead quality (1-intermittent, 2-variable, 3-rippled, 4-smooth)","Property Bead quality (1-intermittent, 2-variable, 3-rippled, 4-smooth) units",Property Weld End Stage Data: Weld Power Source/Hotwire Mode,Property Summary: Measured Pre-Time,Property mean Stacked Bead Height (mm),Property mean Stacked Bead Height (mm) units,Property Weld Ignition Stage Data: Laser Start Move Delay (s),Property Weld Ignition Stage Data: Laser Start Move Delay (s) units,Property Pre-Weld Data: Gas Purge Time (s),Property Pre-Weld Data: Gas Purge Time (s) units,Property Summary: Measured Weld Time,Property Fusion zone depth (mm),Property Fusion zone depth (mm) units,Property Weld Main Stage Data: Laser Power (W),Property Weld Main Stage Data: Laser Power (W) units,Property mean Beta grain length perp. build (microns),Property mean Beta grain length perp. build (microns) units,Property Weld Ignition Stage Data: Wobbler Amplitude (mm),Property Weld Ignition Stage Data: Wobbler Amplitude (mm) units,Property Post-Weld Data: Gas Off Delay (s),Property Post-Weld Data: Gas Off Delay (s) units,Property Pre-Weld Data: Gas Pre-Flow Time (s),Property Pre-Weld Data: Gas Pre-Flow Time (s) units,Property Fusion zone area (mm^2),Property Fusion zone area (mm^2) units,Property Alpha lath thickness (microns),Property Alpha lath thickness (microns) units,Property Weld Main Stage Data: Wire Power (kW),Property Weld Main Stage Data: Wire Power (kW) units,Property Weld End Stage Data: Heat Wirefeed Speed (mm/s),Property Weld End Stage Data: Heat Wirefeed Speed (mm/s) units,Property Weld Ignition Stage Data: Wire Power (kW),Property Weld Ignition Stage Data: Wire Power (kW) units,Property Weld Fill Stage Data: Laser Power (W),Property Weld Fill Stage Data: Laser Power (W) units,Property Weld Main Stage Data: Wobbler Amplitude (mm),Property Weld Main Stage Data: Wobbler Amplitude (mm) units,Property Weld Fill Stage Data: Wire Power (kW),Property Weld Fill Stage Data: Wire Power (kW) units,Property Fusion zone width (mm),Property Fusion zone width (mm) units,Property Weld End Stage Data: Laser Power (W),Property Weld End Stage Data: Laser Power (W) units,Property Fusion zone depth at 75% fusion zone width (mm),Property Fusion zone depth at 75% fusion zone width (mm) units,Property Weld Main Stage Data: Weld Power Source/Hotwire Mode,Property Weld Main Stage Data: Weave Length (mm),Property Weld Main Stage Data: Weave Length (mm) units,Property Pre-Weld Data: PreTime Recorded (s),Property Pre-Weld Data: PreTime Recorded (s) units,"Property Microstructure type (1-basketweave, 2-colony, 4-GB alpha)","Property Microstructure type (1-basketweave, 2-colony, 4-GB alpha) units",Property mean Bead width (mm),Property mean Bead width (mm) units,Property Weld Main Stage Data: Wobbler Frequency (Hz),Property Weld Main Stage Data: Wobbler Frequency (Hz) units,Property Summary: Total Length,Property mean Fusion zone area (mm^2),Property mean Fusion zone area (mm^2) units,Property Weld Ignition Stage Data: Laser Power (W),Property Weld Ignition Stage Data: Laser Power (W) units,Property Stacked Bead Height (mm),Property Stacked Bead Height (mm) units,"Property mean Microstructure type (1-basketweave, 2-colony, 4-GB alpha)","Property mean Microstructure type (1-basketweave, 2-colony, 4-GB alpha) units",Property Post-Weld Data: Burn Back Time (s),Property Post-Weld Data: Burn Back Time (s) units,Property Summary: Wire Feed Speed (mm/s),Property Summary: Wire Feed Speed (mm/s) units,Property Weld Ignition Stage Data: Wobbler Frequency (Hz),Property Weld Ignition Stage Data: Wobbler Frequency (Hz) units
N00014-001-001,2.865,mm,3000,W,0.0,s,485.0,0.4,s,0,kW,8.0,mm,500.0,Hz,3.5,mm/s,59.25,mm/s,0.3,kW,0.25,s,292.01022222222224,microns,1.028,mm,500.0,Hz,80.0,7.163,mm,0.05,mm,0.25,s,825.5915,microns,2.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",15.0,mm/s,0.0,mm,1.2145555555555554,microns,292.01022222222224,microns,0.7425,mm,7.198,mm,0.0,mm,1.028,mm,3.5,mm/s,1.0,79.0,2,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.077,,,0.2,s,5.0,s,62.538,2.865,mm,3000.0,W,825.5915,microns,0.0,mm,0.0,s,3.0,s,15.019,mm^2,1.2145555555555554,microns,0.0,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,7.198,mm,6000.0,W,0.7425,mm,485.0,4.0,mm,2.08,s,1,"1-basketweave, 2-colony, 4-GB alpha",7.163,mm,500.0,Hz,195.7,15.019,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,15,mm/s,500.0,Hz
N00014-001-002,3.088,mm,6000,W,0.0,s,485.0,0.4,s,0.6,kW,8.0,mm,500.0,Hz,15,mm/s,59.25,mm/s,0.3,kW,0.25,s,205.34555555555553,microns,0.6775,mm,500.0,Hz,75.0,7.407,mm,0.05,mm,0.25,s,857.1715,microns,4.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",90.0,mm/s,0.0,mm,1.2908888888888888,microns,205.34555555555553,microns,0.5605,mm,7.353,mm,0.0,mm,0.6775,mm,15.0,mm/s,1.0,74.0,4,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.073,,,0.2,s,5.0,s,19.521,3.088,mm,6000.0,W,857.1715,microns,0.0,mm,0.0,s,3.0,s,16.045,mm^2,1.2908888888888888,microns,0.6,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,7.353,mm,6000.0,W,0.5605,mm,485.0,4.0,mm,2.07,s,1,"1-basketweave, 2-colony, 4-GB alpha",7.407,mm,500.0,Hz,195.7,16.045,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,90,mm/s,500.0,Hz
N00014-001-003,4.247,mm,6000,W,0.0,s,485.0,0.4,s,0.3,kW,8.0,mm,500.0,Hz,3.5,mm/s,59.25,mm/s,0.3,kW,0.25,s,431.2419130434783,microns,2.1235,mm,500.0,Hz,58.0,,,0.05,mm,0.25,s,1087.894,microns,3.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",35.0,mm/s,0.0,mm,1.407333333333333,microns,431.2419130434783,microns,1.914,mm,11.813,mm,0.0,mm,2.1235,mm,3.5,mm/s,1.0,56.0,3,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.077,,,0.2,s,5.0,s,60.389,4.247,mm,6000.0,W,1087.894,microns,0.0,mm,0.0,s,3.0,s,37.659,mm^2,1.407333333333333,microns,0.3,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,11.813,mm,6000.0,W,1.914,mm,485.0,4.0,mm,2.08,s,1,"1-basketweave, 2-colony, 4-GB alpha",,,500.0,Hz,195.7,37.659,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,35,mm/s,500.0,Hz
N00014-001-004,4.71,mm,6000,W,0.0,s,485.0,0.4,s,0.3,kW,8.0,mm,500.0,Hz,3.5,mm/s,59.25,mm/s,0.3,kW,0.25,s,406.34143478260864,microns,1.9885,mm,500.0,Hz,52.0,,,0.05,mm,0.25,s,1166.4323333333334,microns,3.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",45.0,mm/s,0.0,mm,,,406.34143478260864,microns,1.5345,mm,13.248,mm,0.0,mm,1.9885,mm,3.5,mm/s,1.0,50.0,3,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,4.811,,,0.2,s,5.0,s,68.275,4.71,mm,6000.0,W,1166.4323333333334,microns,0.0,mm,0.0,s,3.0,s,45.069,mm^2,,,0.3,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,13.248,mm,6000.0,W,1.5345,mm,485.0,4.0,mm,4.81,s,1,"1-basketweave, 2-colony, 4-GB alpha",,,500.0,Hz,195.7,45.069,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,45,mm/s,500.0,Hz
N00014-001-005,5.905,mm,6000,W,0.0,s,485.0,0.4,s,0.3,kW,8.0,mm,500.0,Hz,3.5,mm/s,59.25,mm/s,0.3,kW,0.25,s,460.8390625,microns,1.6075,mm,500.0,Hz,68.0,11.452,mm,0.05,mm,0.25,s,1296.0893333333333,microns,4.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",55.0,mm/s,0.0,mm,1.2736666666666665,microns,460.8390625,microns,1.1405,mm,11.564,mm,0.0,mm,1.6075,mm,3.5,mm/s,1.0,65.0,4,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.08,,,0.2,s,5.0,s,60.607,5.905,mm,6000.0,W,1296.0893333333333,microns,0.0,mm,0.0,s,3.0,s,48.42,mm^2,1.2736666666666665,microns,0.3,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,11.564,mm,6000.0,W,1.1405,mm,485.0,4.0,mm,2.08,s,1,"1-basketweave, 2-colony, 4-GB alpha",11.452,mm,500.0,Hz,195.7,48.42,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,55,mm/s,500.0,Hz
N00014-001-006,,,6000,W,0.0,s,485.0,0.4,s,0.3,kW,8.0,mm,500.0,Hz,15,mm/s,59.25,mm/s,0.3,kW,0.25,s,,,,,500.0,Hz,53.0,,,0.05,mm,0.25,s,,,1.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",20.0,mm/s,0.0,mm,,,,,,,,,0.0,mm,,,15.0,mm/s,1.0,53.0,1,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.077,,,0.2,s,5.0,s,19.573,,,6000.0,W,,,0.0,mm,0.0,s,3.0,s,,,,,0.3,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,,,6000.0,W,,,485.0,4.0,mm,2.08,s,,,,,500.0,Hz,195.7,,,6000.0,W,,,,,0.0,s,20,mm/s,500.0,Hz
N00014-001-007,2.104,mm,6000,W,0.0,s,485.0,0.4,s,0.3,kW,8.0,mm,500.0,Hz,15,mm/s,59.25,mm/s,0.3,kW,0.25,s,204.60315789473685,microns,0.7175,mm,500.0,Hz,50.0,8.772,mm,0.05,mm,0.25,s,280.9116,microns,1.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",30.0,mm/s,0.0,mm,1.243111111111111,microns,204.60315789473685,microns,0.48,mm,8.882,mm,0.0,mm,0.7175,mm,15.0,mm/s,1.0,49.0,1,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.078,,,0.2,s,5.0,s,19.544,2.104,mm,6000.0,W,280.9116,microns,0.0,mm,0.0,s,3.0,s,12.452,mm^2,1.243111111111111,microns,0.3,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,8.882,mm,6000.0,W,0.48,mm,485.0,4.0,mm,2.08,s,1,"1-basketweave, 2-colony, 4-GB alpha",8.772,mm,500.0,Hz,195.7,12.452,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,30,mm/s,500.0,Hz
N00014-001-008,1.272,mm,6000,W,0.0,s,485.0,0.4,s,0.3,kW,8.0,mm,500.0,Hz,15,mm/s,59.25,mm/s,0.3,kW,0.25,s,145.9584,microns,0.585,mm,500.0,Hz,41.0,7.18,mm,0.05,mm,0.25,s,511.2955,microns,1.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",40.0,mm/s,0.0,mm,,,145.9584,microns,0.4015,mm,7.403,mm,0.0,mm,0.585,mm,15.0,mm/s,1.0,42.0,1,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.077,,,0.2,s,5.0,s,19.106,1.272,mm,6000.0,W,511.2955,microns,0.0,mm,0.0,s,3.0,s,6.326,mm^2,,,0.3,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,7.403,mm,6000.0,W,0.4015,mm,485.0,4.0,mm,2.08,s,1,"1-basketweave, 2-colony, 4-GB alpha",7.18,mm,500.0,Hz,195.7,6.326,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,40,mm/s,500.0,Hz
N00014-001-009,2.391,mm,6000,W,0.0,s,485.0,0.4,s,0.3,kW,8.0,mm,500.0,Hz,15,mm/s,59.25,mm/s,0.3,kW,0.25,s,147.38742857142856,microns,0.6545,mm,500.0,Hz,35.0,8.99,mm,0.05,mm,0.25,s,426.33,microns,1.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",40.0,mm/s,0.0,mm,1.115888888888889,microns,147.38742857142856,microns,0.4485,mm,8.967,mm,0.0,mm,0.6545,mm,15.0,mm/s,1.0,35.0,1,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.074,,,0.2,s,5.0,s,57.251,2.391,mm,6000.0,W,426.33,microns,0.0,mm,0.0,s,3.0,s,14.906,mm^2,1.115888888888889,microns,0.3,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,8.967,mm,6000.0,W,0.4485,mm,485.0,4.0,mm,2.07,s,1,"1-basketweave, 2-colony, 4-GB alpha",8.99,mm,500.0,Hz,192.38,14.906,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,40,mm/s,500.0,Hz
N00014-001-010,2.725,mm,6000,W,0.0,s,485.0,0.4,s,0.3,kW,8.0,mm,500.0,Hz,15,mm/s,59.25,mm/s,0.3,kW,0.25,s,234.4912,microns,0.8705,mm,500.0,Hz,35.0,9.066,mm,0.05,mm,0.25,s,338.658,microns,1.0,"1-intermittent, 2-variable, 3-rippled, 4-smooth",45.0,mm/s,0.0,mm,1.3822222222222222,microns,234.4912,microns,0.547,mm,9.32,mm,0.0,mm,0.8705,mm,15.0,mm/s,1.0,35.0,1,"1-intermittent, 2-variable, 3-rippled, 4-smooth",485.0,2.079,,,0.2,s,5.0,s,13.263,2.725,mm,6000.0,W,338.658,microns,0.0,mm,0.0,s,3.0,s,18.159,mm^2,1.3822222222222222,microns,0.3,kW,59.25,mm/s,0.3,kW,6000.0,W,0.0,mm,0.3,kW,9.32,mm,6000.0,W,0.547,mm,485.0,4.0,mm,2.08,s,1,"1-basketweave, 2-colony, 4-GB alpha",9.066,mm,500.0,Hz,105.9,18.159,mm^2,6000.0,W,,,1.0,"1-basketweave, 2-colony, 4-GB alpha",0.0,s,45,mm/s,500.0,Hz
